UPC1,Descrption,Price,QOH,Tax,Category,SubCategory ,SubCategory2,SubCategory3 ,Vendor 
40000004279,Gigis Handbags,59.99,1,Yes,Accessory,Handbag,,,
40000004420,ganz,39.99,1,Yes,Accessory,,,,
40000004407,Navy Multi JKT,75.99,1,Yes,Apparel,Top,,,
40000004407,Navy Multi JKT,75.99,1,Yes,Apparel,Top,,,
40000004517,L/S 2 Pocket Top,42.99,6,Yes,Apparel,Top,,,
40000004290,Gigis Handbag,39.99,2,Yes,Accessory,Handbag,,,
40000004044,Lace Tube Top,16,16,Yes,Apparel,Top,,,
40005722001,,12,2,Yes,,,,,
40000003669,,27,9,Yes,,,,,
40000003400,,18,2,Yes,,,,,
40000004411,Fringe Vest,49.99,3,Yes,Apparel,Top,,,
40000004006,Cha Cha Dress,120,3,Yes,Apparel,Top,,,
40000004097,Mutliples Top,49,1,Yes,Apparel,Top,,,
40000004097,Mutliples Top,49,1,Yes,Apparel,Top,,,
40000003654,,85,3,Yes,,,,,
40000004002,Layered Top,98,1,Yes,Apparel,Top,,,
40000004002,Layered Top,98,1,Yes,Apparel,Top,,,
40000004002,Layered Top,98,1,Yes,Apparel,Top,,,
40000004200,Ruffled Dress,122.99,1,Yes,Apparel,Dress,,,
40000004200,Ruffled Dress,122.99,1,Yes,Apparel,Dress,,,
40000004200,Ruffled Dress,122.99,1,Yes,Apparel,Dress,,,
40000004205,Laundered Sateen Top,64.99,1,Yes,Apparel,Top,,,
40000004205,Laundered Sateen Top,64.99,1,Yes,Apparel,Top,,,
40000004205,Laundered Sateen Top,64.99,1,Yes,Apparel,Top,,,
40000003864,Black Top,44,1,Yes,Apparel,Top,,,
40000003864,Black Top,44,1,Yes,Apparel,Top,,,
40000003657,,100,1,Yes,,,,,
40000003657,,100,1,Yes,,,,,
40000003657,,100,1,Yes,,,,,
40000004411,Fringe Vest,49.99,1,Yes,Apparel,Top,,,
40000004411,Fringe Vest,49.99,1,Yes,Apparel,Top,,,
40000004004,Sleeveless Blouse,98,1,Yes,Apparel,Top,,,
40000004004,Sleeveless Blouse,98,1,Yes,Apparel,Top,,,
40000004410,Blk Open Cardi,49.99,1,Yes,Apparel,Top,,,
40000004410,Blk Open Cardi,49.99,1,Yes,Apparel,Top,,,
40000004097,Mutliples Top,49,1,Yes,Apparel,Top,,,
